,MUNICIPALITY_NAME,geometry
229,SAN GIULIANO MILANESE,POINT (9.2779177 45.3805448)
230,RIPALTA CREMASCA,POINT (9.6835449 45.3285855)
231,VANZAGO,POINT (8.98542 45.51984)
232,MARCALLO CON CASONE,POINT (8.8644971 45.4869129)
233,CUSANO MILANINO,POINT (9.1839256 45.5525467)
234,CASIRATE D'ADDA,POINT (9.552903 45.4999622)
235,CORTENUOVA,POINT (9.8004543 45.5335113)
236,ARESE,POINT (9.0725665 45.5489711)
237,ISSO,POINT (9.7431705 45.4702668)
238,PIZZIGHETTONE,POINT (9.7963225 45.1913075)
239,STRADELLA,POINT (9.3096521 45.0789631)
240,ZERBO,POINT (9.4018785 45.1074084)
241,VOGHERA,POINT (9.0152132 45.0140292)
242,MONTICELLI PAVESE,POINT (9.510311 45.1075701)
243,VILLANOVA DEL SILLARO,POINT (9.4703298 45.2415249)
244,SUARDI,POINT (8.7429617 45.0267149)
245,RUDIANO,POINT (9.8942757 45.4854735)
246,SOMAGLIA,POINT (9.640465 45.1515392)
247,BUSTO GAROLFO,POINT (8.886681 45.5422464)
248,PESCHIERA BORROMEO,POINT (9.3043476 45.4423896)
249,TURANO LODIGIANO,POINT (9.6308167 45.2515276)
250,BESATE,POINT (8.9668646 45.3036192)
251,LURANO,POINT (9.6416132 45.5685443)
252,LOCATE DI TRIULZI,POINT (9.2256433 45.3589707)
253,DOVERA,POINT (9.5362619 45.3655233)
254,ABBADIA CERRETO,POINT (9.5939256 45.3199052)
255,CARPIANO,POINT (9.2733049 45.3458591)
256,BRALLO DI PREGOLA,POINT (9.2835604 44.7218536)
257,MACCASTORNA,POINT (9.8539401 45.1440654)
258,GAMBOLO',POINT (8.8810066 45.2560625)
259,COSTA DE' NOBILI,POINT (9.3847885 45.1351997)
260,CASTELGERUNDO,POINT (9.740275 45.1992288)
261,CASALETTO CEREDANO,POINT (9.6185664 45.3108931)
262,PIEVE DEL CAIRO,POINT (8.8147063 45.0527771)
263,LISCATE,POINT (9.4072753 45.4721082)
264,VIDIGULFO,POINT (9.2351933 45.2910487)
265,PIEVE ALBIGNOLA,POINT (8.9639517 45.1029166)
266,CASSOLNOVO,POINT (8.793797 45.3690734)
267,GAMBARANA,POINT (8.7698299 45.0423218)
268,MOTTA VISCONTI,POINT (8.9892975 45.2833694)
269,ORZINUOVI,POINT (9.9572339 45.3980011)
270,CORNO GIOVINE,POINT (9.775594 45.1304633)
271,BUSCATE,POINT (8.8148577 45.5441042)
272,MONTESEGALE,POINT (9.1261892 44.9068788)
273,CERNUSCO SUL NAVIGLIO,POINT (9.3334499 45.5241417)
274,PREGNANA MILANESE,POINT (9.0040849 45.5164973)
275,CASTEGGIO,POINT (9.1346613 45.0099693)
276,FORTUNAGO,POINT (9.1864556 44.9109555)
277,ACQUANEGRA CREMONESE,POINT (9.8895497 45.1762854)
278,ROBECCHETTO CON INDUNO,POINT (8.75923 45.5201088)
279,CREDERA RUBBIANO,POINT (9.648122 45.2960354)
280,DORNO,POINT (8.9464651 45.1465506)
281,BREME,POINT (8.6209269 45.1303508)
282,VALLE SALIMBENE,POINT (9.2333035 45.160116)
283,TRESCORE CREMASCO,POINT (9.6187162 45.3983498)
284,FRASCAROLO,POINT (8.6907624 45.0405971)
285,CIVIDATE AL PIANO,POINT (9.8290707 45.5465091)
286,VALEGGIO,POINT (8.8727761 45.1497608)
287,FIESCO,POINT (9.7798382 45.3347962)
288,PIEVE EMANUELE,POINT (9.1986975 45.353292)
289,SAN ZENONE AL PO,POINT (9.3709248 45.1137894)
290,MOZZANICA,POINT (9.693869 45.467309)
291,POZZUOLO MARTESANA,POINT (9.4606411 45.5106604)
292,TROMELLO,POINT (8.8504104 45.2044497)
293,MONTESCANO,POINT (9.2895705 45.0272328)
294,BERNATE TICINO,POINT (8.8135319 45.4775494)
295,VILLANOVA D'ARDENGHI,POINT (9.0392587 45.167114)
296,BARIANO,POINT (9.7069974 45.5137613)
297,BAGNOLO CREMASCO,POINT (9.6105525 45.3647304)
298,BORGHETTO LODIGIANO,POINT (9.5042865 45.2103443)
299,BEREGUARDO,POINT (9.0123942 45.2526681)
300,MAGENTA,POINT (8.8621995 45.4511957)
301,CASOREZZO,POINT (8.9073754 45.5268241)
302,CERETTO LOMELLINA,POINT (8.6708047 45.2476798)
303,PIERANICA,POINT (9.6096613 45.428748)
304,ROZZANO,POINT (9.1638306 45.381658)
305,MORIMONDO,POINT (8.9546753 45.3515969)
306,MORENGO,POINT (9.7126846 45.539343)
307,CASALBUTTANO ED UNITI,POINT (9.9663309 45.2457463)
308,MUGGIO',POINT (9.2259427 45.5864027)
309,AGRATE BRIANZA,POINT (9.3611525 45.5746724)
310,CINISELLO BALSAMO,POINT (9.2236748 45.5579341)
311,BADIA PAVESE,POINT (9.4567241 45.1233029)
312,PARABIAGO,POINT (8.9432965 45.5517035)
313,GRAFFIGNANA,POINT (9.448154 45.2076602)
314,SALVIROLA,POINT (9.7896133 45.3596086)
315,MASATE,POINT (9.4659124 45.5671228)
316,CASALPUSTERLENGO,POINT (9.6247502 45.1971627)
317,ROBECCO SUL NAVIGLIO,POINT (8.8701228 45.4252886)
318,OSPEDALETTO LODIGIANO,POINT (9.584676 45.1705068)
319,SANTO STEFANO LODIGIANO,POINT (9.7436134 45.1156019)
