MUNICIPALITY_NAME,geometry
SERGNANO,POINT (9.689783 45.4360232)
PALESTRO,POINT (8.5321348 45.2899625)
SCHIGNANO,POINT (9.097176 45.9200754)
GRONE,POINT (9.928975 45.730865)
CASTELVISCONTI,POINT (9.9513271 45.300544)
TORRAZZA COSTE,POINT (9.0973979 44.9628868)
MERLINO,POINT (9.4478646 45.4338415)
ISOLA DOVARESE,POINT (10.3118998 45.1736473)
MAIRANO,POINT (10.0815548 45.4571392)
CALVATONE,POINT (10.4540031 45.1302098)
BASCAPE',POINT (9.3252561 45.2989989)
SIZIANO,POINT (9.216336 45.3094937)
ROCCAFRANCA,POINT (9.9182845 45.4563089)
CISANO BERGAMASCO,POINT (9.4687536 45.7501293)
TORRE D'ARESE,POINT (9.3202616 45.2369511)
SAN DONATO MILANESE,POINT (9.2579214 45.4136302)
SIRONE,POINT (9.3234333 45.7756681)
CASSINA VALSASSINA,POINT (9.4853285 45.9153376)
MESE,POINT (9.3718643 46.3096056)
COLONNO,POINT (9.1469943 45.9648346)
BORGO SAN GIOVANNI,POINT (9.4206748 45.2744752)
LIVIGNO,POINT (10.1291285 46.5234981)
ADRARA SAN ROCCO,POINT (9.9703401 45.7299466)
SEDRINA,POINT (9.6298924 45.7755083)
COSTA MASNAGA,POINT (9.2678587 45.7663297)
TRADATE,POINT (8.9161445 45.7163064)
BORMIO,POINT (10.4151907 46.492726)
LONATE POZZOLO,POINT (8.7377722 45.5880051)
BARASSO,POINT (8.7559707 45.8498406)
CALVISANO,POINT (10.3518571 45.3568949)
VOLTA MANTOVANA,POINT (10.6666422 45.3168525)
SUEGLIO,POINT (9.3393794 46.0920412)
NESSO,POINT (9.1744418 45.9051445)
VILLA CARCINA,POINT (10.1970341 45.638225)
UGGIATE - TREVANO,POINT (8.9651001 45.8237671)
MACHERIO,POINT (9.2627601 45.6380554)
VENEGONO SUPERIORE,POINT (8.901397 45.7546546)
BARANZATE,POINT (9.1108363 45.5281119)
DIZZASCO,POINT (9.1154367 45.9481536)
