"NOME_COM","sum_area","weighted_sum_Altitude","weighted_sum_WE_temp_2m","weighted_sum_WE_wind_speed_10m_mean","weighted_sum_WE_wind_speed_10m_max","weighted_sum_WE_tot_precipitation","weighted_sum_WE_precipitation_t","weighted_sum_WE_surface_pressure","weighted_sum_WE_solar_radiation","weighted_sum_WE_rh_min","weighted_sum_WE_rh_mean","weighted_sum_WE_rh_max","weighted_sum_WE_wind_speed_100m_mean","weighted_sum_WE_wind_speed_100m_max","weighted_sum_WE_blh_layer_max","weighted_sum_WE_blh_layer_min","weighted_sum_EM_nh3_livestock_mm","weighted_sum_EM_nh3_agr_soils","weighted_sum_EM_nh3_agr_waste_burn","weighted_sum_EM_nh3_sum","weighted_sum_EM_nox_traffic","weighted_sum_EM_nox_sum","weighted_sum_EM_so2_sum","weighted_sum_LI_pigs","weighted_sum_LI_bovine","weighted_sum_LA_hvi","weighted_sum_LA_lvi","weighted_sum_LA_land_use"
"TICENGO",8040391.06859789,74.5020877716614,13.6905038686907,1.49984454469198,2.50267748960096,0.0029044293620961,0.322054914714588,100371.327667346,11252113.7436459,57.7880006285504,75.575022832756,91.3690146636868,2.61524878389168,4.75147457437115,1035.224834075,38.4925264251279,40.4057591872778,7.34773478344013,0.175742670206377,48.0516577653267,0.911305087056737,2.4129253700545,0.244965220444112,1193.71089927247,223.506228278443,1.72324296734127,2.57771652031292,211
"TIGNALE",45626529.166714,615.086773679801,11.1515820028737,0.85039102915639,1.47407162992672,0.0036042537691863,0.289617486338798,93135.286091075,11360346.730232,61.1891081686941,75.2696962938893,88.8151269925025,1.66261174837472,2.97048983848099,986.305478012018,29.1381968513833,0.559614581239898,0.932138833513108,0.0245221132896117,1.56263089063437,1.25421125930395,1.69845412811074,0.379156523132856,0.268803634883152,4.70250250682742,3.04332322538862,2.26390883923747,422.946987029344
"TIRANO",12702960.6715155,1452.49029846995,4.89973922380156,0.755931958910048,1.2063768918243,0.00404697732136845,1.13661202185792,84968.3173568077,9494278.80937699,58.3207882223352,76.5552955523385,91.7519127087188,1.63667897743831,2.64302509148395,969.586186710383,20.2683012735125,1.05035398741473,0.756767181309259,0.00100551719688619,1.88625065267284,1.08786105295798,1.22825101610527,0.0808582253501021,0.971856831667674,7.11545923926887,4.25861785077874,1.33326281235588,312
"TORBOLE CASAGLIA",13384528.3064823,133.375232229599,13.1411062224782,1.22131311446567,1.9738923786743,0.00298683972532142,0.319672131147541,98774.2250477229,11234873.8028658,59.927373159056,76.8481097291615,91.6904095021105,2.1812757782104,3.9210208693328,1007.86359916548,34.9688840785527,16.9316605559455,4.68063834002882,0.122029706840788,22.761338107283,5.40681594657388,12.2175908425394,2.04265658390457,296.453551280351,123.543733836551,2.29340249110671,2.44064582253844,211
"TORLINO VIMERCATI",5676994.84202691,97.6468760881718,13.1885640658549,1.41693578708167,2.37987863085521,0.00305007870003273,0.333333333333333,99686.3899376601,11152013.099408,58.3464247174682,75.9294996493921,91.568645081811,2.594266783736,4.73019924450345,1016.42015595454,37.6266165390677,26.0402503797694,9.08434711029431,0.0792761258800695,35.5110006833302,2.16615336898164,3.92861105852995,0.443849285846252,379.85467621765,249.700788644197,1.84524362235223,2.41908876770217,211
"TORNATA",10244737.4852691,26.8797448871993,14.2351306976363,1.70943405243779,2.87461044881045,0.00275885647593279,0.347916245753583,101191.55667221,11467683.7072757,57.3167989014622,75.359766009509,91.2632412718992,2.94445664156512,5.24056717744436,1120.5765786788,50.065249111781,13.0636583297007,6.79929956092307,0.180116517820915,20.1566323943013,1.59862479989492,2.54324488856631,0.208936184007111,252.120542650295,105.542359831915,2.16077471104283,2.20122166405029,211
"TORNO",7457781.30499835,708.583064575195,11.6030079234973,1.11364617486339,1.78829890710383,0.00455694706420765,0.33879781420765,95542.868852459,11332224.863388,59.7503005464481,75.5991256830601,90.7375956284153,2.06859726775956,3.73795081967213,965.806557377049,38.0277322404372,0.155160273224044,0.243496174863388,0,0.762731693989071,0.449851366120219,2.54129234972678,1.18215601092896,0.150362295081967,1.83060928961749,2.23031967213115,2.85185245901639,311
"TORRAZZA COSTE",16244613.5123884,226.522131088747,13.1235764270391,1.49127389256195,2.52178324194477,0.0023783930656101,0.346515312474095,98238.9489852998,11306829.8708955,56.4883964289288,74.2374076342294,90.3052000019191,2.82158857766431,4.89134383667451,1058.27616372698,57.6206006147725,0.330904516084828,4.71334521615055,0.125239637317685,5.35479528797139,2.15220254715149,2.87488300880795,0.265194864277774,1.71675234548486,2.77405948944461,2.25651164175861,1.98353564730762,219.520911777026
"TORRE BERETTI E CASTELLARO",17435119.0311752,94.0779652598996,13.6705472991671,1.67089542613009,2.90606313696747,0.00226131116843811,0.33879781420765,99792.1800475897,11322453.7476438,53.5883065659398,72.9580223472035,90.5485312003949,2.8720664652422,5.13236918091883,1073.55049914578,56.0517699437311,0.947437566752464,4.73691188412048,0.142479419051006,5.99761883574449,1.30070448320813,2.5247457499364,0.706483874083767,3.40505349775824,10.6439457157843,2.89741451105759,1.54410929488281,211.645447764727
"TORRE BOLDONE",3494005.66137519,508.844882966527,11.1458017967031,1.33300289974065,2.07554235444272,0.00413828589272269,0.319672131147541,96290.1717071257,11147492.5900691,62.1062615429363,78.4399236353777,92.6161684283802,1.88502057889914,3.43861179292222,933.392482189634,23.5922062768797,1.33415659477841,0.428902405893832,0.00132716462227855,2.89236806219576,2.06201028896859,12.3595183619933,6.55700075317882,6.60233546584046,9.34984389004376,2.19524505259962,2.63464728573016,311
